"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 21일","1,975.12","1,959.79","1,989.44","1,940.59","292.47K","0.78%"
"2022년 05월 20일","1,959.85","2,019.36","2,061.08","1,923.86","699.69K","-2.95%"
"2022년 05월 19일","2,019.34","1,913.99","2,039.71","1,903.67","858.97K","5.61%"
"2022년 05월 18일","1,912.12","2,091.05","2,108.84","1,909.56","751.82K","-8.56%"
"2022년 05월 17일","2,091.14","2,023.00","2,120.03","2,008.84","736.63K","3.37%"
"2022년 05월 16일","2,022.93","2,145.86","2,145.86","1,979.93","950.85K","-5.73%"
"2022년 05월 15일","2,145.86","2,056.33","2,161.78","2,001.74","589.77K","4.36%"
"2022년 05월 14일","2,056.30","2,009.55","2,068.66","1,952.07","656.94K","2.33%"
"2022년 05월 13일","2,009.53","1,955.59","2,146.22","1,941.53","1.34M","2.77%"
"2022년 05월 12일","1,955.36","2,087.17","2,190.51","1,796.24","2.84M","-6.03%"
"2022년 05월 11일","2,080.79","2,342.27","2,451.33","2,007.57","2.70M","-11.16%"
"2022년 05월 10일","2,342.30","2,229.69","2,455.19","2,202.02","1.95M","5.08%"
"2022년 05월 09일","2,229.10","2,519.98","2,529.35","2,228.90","1.93M","-11.54%"
"2022년 05월 08일","2,519.98","2,636.03","2,641.84","2,492.59","925.40K","-4.40%"
"2022년 05월 07일","2,636.03","2,692.92","2,703.11","2,589.29","458.05K","-2.11%"
"2022년 05월 06일","2,692.88","2,747.60","2,757.14","2,635.85","881.18K","-1.99%"
"2022년 05월 05일","2,747.46","2,940.70","2,952.84","2,730.95","899.82K","-6.57%"
"2022년 05월 04일","2,940.70","2,781.47","2,963.54","2,773.90","662.07K","5.72%"
"2022년 05월 03일","2,781.47","2,856.01","2,861.42","2,757.36","447.80K","-2.61%"
"2022년 05월 02일","2,856.01","2,825.65","2,879.99","2,780.08","617.74K","1.07%"
"2022년 05월 01일","2,825.80","2,727.20","2,847.02","2,720.57","512.01K","3.62%"
"2022년 04월 30일","2,727.18","2,817.14","2,841.16","2,716.31","430.98K","-3.18%"
"2022년 04월 29일","2,816.66","2,937.01","2,946.18","2,778.33","629.56K","-4.10%"
"2022년 04월 28일","2,937.01","2,889.01","2,977.78","2,856.42","726.03K","1.66%"
"2022년 04월 27일","2,888.99","2,810.42","2,916.39","2,795.58","602.24K","2.80%"
"2022년 04월 26일","2,810.42","3,006.04","3,032.70","2,768.38","694.46K","-6.51%"
