"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 11월 23일","1.57250","1.54080","1.62600","1.53320","1.18M","2.04%"
"2022년 11월 22일","1.54110","1.46620","1.55790","1.44150","1.46M","4.89%"
"2022년 11월 21일","1.46920","1.46290","1.47770","1.43810","1.69M","0.43%"
"2022년 11월 20일","1.46290","1.48980","1.49750","1.45730","2.10M","-1.82%"
"2022년 11월 19일","1.49000","1.47360","1.49220","1.46290","861.76K","-0.37%"
"2022년 11월 18일","1.49550","1.51010","1.53290","1.49030","865.21K","-1.64%"
"2022년 11월 17일","1.52040","1.52150","1.57270","1.47240","1.46M","6.00%"
"2022년 11월 16일","1.43440","1.48210","1.48370","1.40000","806.67K","-3.07%"
"2022년 11월 15일","1.47990","1.43460","1.54580","1.41970","1.10M","2.84%"
"2022년 11월 14일","1.43910","1.43910","1.45560","1.35990","1.31M","-0.10%"
"2022년 11월 13일","1.44050","1.49050","1.51810","1.42060","1.79M","-3.48%"
"2022년 11월 12일","1.49240","1.51410","1.53430","1.46780","1.25M","-1.40%"
"2022년 11월 11일","1.51360","1.55640","1.57240","1.44030","1.08M","-2.79%"
"2022년 11월 10일","1.55700","1.40950","1.57610","1.40400","2.14M","10.57%"
"2022년 11월 09일","1.40810","1.53390","1.62640","1.32760","3.51M","-7.94%"
"2022년 11월 08일","1.52950","1.75760","1.78640","1.49800","3.68M","-13.23%"
"2022년 11월 07일","1.76270","1.80130","1.84840","1.73360","1.09M","-2.24%"
"2022년 11월 06일","1.80300","1.63780","1.87930","1.62800","1.64M","10.13%"
"2022년 11월 05일","1.63710","1.66820","1.69620","1.60990","846.03K","-1.81%"
"2022년 11월 04일","1.66720","1.43490","1.67940","1.41740","1.32M","16.25%"
"2022년 11월 03일","1.43420","1.41130","1.43850","1.38230","708.89K","1.60%"
"2022년 11월 02일","1.41160","1.22660","1.62790","1.22630","4.04M","15.08%"
"2022년 11월 01일","1.22660","1.24220","1.25680","1.22480","617.14K","-1.38%"
"2022년 10월 31일","1.24380","1.26860","1.28800","1.23060","887.02K","-2.28%"
"2022년 10월 30일","1.27280","1.41760","1.43430","1.24930","1.71M","-10.30%"
"2022년 10월 29일","1.41890","1.31620","1.44000","1.30090","1.49M","7.80%"
"2022년 10월 28일","1.31620","1.25260","1.38630","1.23630","2.29M","5.31%"
"2022년 10월 27일","1.24980","1.81180","1.86800","1.17810","12.88M","-31.02%"
"2022년 10월 26일","1.81180","1.78077","1.85840","1.77320","695.34K","1.67%"
"2022년 10월 25일","1.78204","1.81268","1.81396","1.71625","744.16K","-1.40%"
"2022년 10월 24일","1.80728","1.81426","1.88347","1.76439","856.43K","-0.19%"
"2022년 10월 23일","1.81064","1.78501","1.83480","1.76613","616.67K","1.51%"
"2022년 10월 22일","1.78368","1.81972","1.82394","1.73219","645.31K","-2.12%"
"2022년 10월 21일","1.82226","1.88393","1.88809","1.72470","837.96K","-3.52%"
"2022년 10월 20일","1.88877","2.00574","2.01796","1.85807","1.03M","-5.79%"
"2022년 10월 19일","2.00477","2.04214","2.08943","1.89569","1.00M","-1.79%"
"2022년 10월 18일","2.04135","2.03077","2.13284","1.95695","1.12M","0.81%"
"2022년 10월 17일","2.02496","1.88453","2.05766","1.87245","1.30M","7.32%"
"2022년 10월 16일","1.88676","1.91713","1.94645","1.84090","752.42K","-1.28%"
"2022년 10월 15일","1.91130","1.79618","1.96744","1.78226","1.27M","6.30%"
"2022년 10월 14일","1.79795","1.63680","1.85000","1.63680","1.52M","9.89%"
"2022년 10월 13일","1.63614","1.66934","1.70299","1.52969","1.57M","-1.91%"
"2022년 10월 12일","1.66794","1.61614","1.71903","1.61614","1.13M","3.30%"
"2022년 10월 11일","1.61471","1.72424","1.72424","1.59507","838.07K","-6.50%"
"2022년 10월 10일","1.72698","1.77943","1.78636","1.71540","264.36K","-3.03%"
"2022년 10월 09일","1.78100","1.78929","1.78929","1.76196","196.84K","-0.38%"
"2022년 10월 08일","1.78771","1.80704","1.81301","1.78092","234.72K","-1.17%"
"2022년 10월 07일","1.80888","1.81059","1.83516","1.76897","412.49K","-0.01%"
"2022년 10월 06일","1.80900","1.82260","1.85126","1.79910","331.79K","-0.75%"
"2022년 10월 05일","1.82260","1.86760","1.86760","1.78426","294.30K","-2.26%"
